Vendedor	Produto	Estado	Mês	Cliente	Valor	Quantidade
x	x	x	x	x	x	x
x	x	x	x	x	x	x
x	x	x	x	x	x	x
x	x	x	x	x	x	x
						
					#DIV/0!	#DIV/0!
					#DIV/0!	#DIV/0!
CAIO	Rodas aro 13"	MG	Janeiro	Pessoa Física	780	110
PRISCILA	Rodas aro 14"	AC	Julho	Pessoa Jurídica	980	110
MIRIAN	Rodas aro 15"	PE	Janeiro	Pessoa Jurídica	1020	109
MURILO	Rodas aro 16"	MA	Abril	Pessoa Jurídica	1340	108
ROBERTO	Rodas aro 17"	AM	Setembro	Pessoa Física	1870	108
MYSLAINE	Rodas aro 18"	DF	Março	Pessoa Jurídica	1910	107
KATIA	Rodas aro 19"	GO	Agosto	Pessoa Física	2240	106
VANESSA	Rodas aro 20"	MG	Setembro	Pessoa Física	2479	103
RENATA	Rodas aro 21"	AC	Setembro	Pessoa Física	3200	102
CAIO	Rodas aro 22"	SE	Outubro	Pessoa Jurídica	3921	101
PRISCILA	Rodas aro 13"	MS	Fevereiro	Pessoa Jurídica	780	99
MIRIAN	Rodas aro 14"	DF	Agosto	Pessoa Jurídica	980	91
MURILO	Rodas aro 15"	RN	Maio	Pessoa Física	1020	91
ROBERTO	Rodas aro 16"	PE	Setembro	Pessoa Jurídica	1340	91
MYSLAINE	Rodas aro 17"	TO	Maio	Pessoa Física	1870	89
KATIA	Rodas aro 18"	RN	Janeiro	Pessoa Física	1910	89
VANESSA	Rodas aro 19"	GO	Janeiro	Pessoa Física	2240	88
RENATA	Rodas aro 20"	SE	Outubro	Pessoa Jurídica	2479	86
CAIO	Rodas aro 21"	RN	Dezembro	Pessoa Jurídica	3200	85
PRISCILA	Rodas aro 22"	RJ	Setembro	Pessoa Jurídica	3921	82
MIRIAN	Rodas aro 13"	AC	Agosto	Pessoa Física	780	82
MURILO	Rodas aro 14"	PA	Maio	Pessoa Jurídica	980	81
ROBERTO	Rodas aro 15"	PI	Janeiro	Pessoa Física	1020	80
MYSLAINE	Rodas aro 16"	PE	Setembro	Pessoa Física	1340	80
KATIA	Rodas aro 17"	ES	Maio	Pessoa Física	1870	75
VANESSA	Rodas aro 18"	RO	Agosto	Pessoa Jurídica	1910	74
RENATA	Rodas aro 19"	PI	Outubro	Pessoa Jurídica	2240	73
CAIO	Rodas aro 20"	RN	Dezembro	Pessoa Jurídica	2479	73
PRISCILA	Rodas aro 21"	PB	Agosto	Pessoa Física	3200	70
MIRIAN	Rodas aro 22"	AP	Dezembro	Pessoa Jurídica	3921	70
MURILO	Rodas aro 13"	BA	Abril	Pessoa Física	780	68
ROBERTO	Rodas aro 14"	BA	Setembro	Pessoa Física	980	64
MYSLAINE	Rodas aro 15"	PB	Agosto	Pessoa Física	1020	63
KATIA	Rodas aro 16"	BA	Agosto	Pessoa Jurídica	1340	62
VANESSA	Rodas aro 17"	RS	Outubro	Pessoa Jurídica	1870	62
RENATA	Rodas aro 18"	SC	Fevereiro	Pessoa Jurídica	1910	62
CAIO	Rodas aro 19"	CE	Outubro	Pessoa Física	2240	60
PRISCILA	Rodas aro 20"	RN	Maio	Pessoa Jurídica	2479	59
MIRIAN	Rodas aro 21"	PE	Junho	Pessoa Física	3200	58
MURILO	Rodas aro 22"	SP	Janeiro	Pessoa Física	3921	57
ROBERTO	Rodas aro 13"	CE	Agosto	Pessoa Física	780	56
MYSLAINE	Rodas aro 14"	PI	Maio	Pessoa Jurídica	980	54
KATIA	Rodas aro 15"	AM	Outubro	Pessoa Jurídica	1020	53
VANESSA	Rodas aro 16"	MG	Dezembro	Pessoa Jurídica	1340	53
RENATA	Rodas aro 17"	GO	Fevereiro	Pessoa Física	1870	52
CAIO	Rodas aro 18"	MG	Março	Pessoa Jurídica	1910	51
PRISCILA	Rodas aro 19"	RN	Novembro	Pessoa Física	2240	49
MIRIAN	Rodas aro 20"	ES	Julho	Pessoa Física	2479	49
MURILO	Rodas aro 21"	RS	Dezembro	Pessoa Física	3200	49
ROBERTO	Rodas aro 22"	SE	Outubro	Pessoa Jurídica	3921	48
MYSLAINE	Rodas aro 13"	MT	Dezembro	Pessoa Jurídica	780	47
KATIA	Rodas aro 14"	RJ	Agosto	Pessoa Jurídica	980	47
VANESSA	Rodas aro 15"	SC	Maio	Pessoa Física	1020	45
RENATA	Rodas aro 16"	RS	Janeiro	Pessoa Jurídica	1340	45
CAIO	Rodas aro 17"	ES	Setembro	Pessoa Física	1870	44
PRISCILA	Rodas aro 18"	MT	Junho	Pessoa Física	1910	40
MIRIAN	Rodas aro 19"	BA	Novembro	Pessoa Física	2240	39
MURILO	Rodas aro 20"	ES	Outubro	Pessoa Jurídica	2479	38
ROBERTO	Rodas aro 21"	MT	Junho	Pessoa Jurídica	3200	38
MYSLAINE	Rodas aro 22"	PA	Abril	Pessoa Jurídica	3921	35
KATIA	Rodas aro 13"	PB	Dezembro	Pessoa Física	780	35
VANESSA	Rodas aro 14"	MS	Abril	Pessoa Jurídica	980	31
RENATA	Rodas aro 15"	PR	Junho	Pessoa Física	1020	28
CAIO	Rodas aro 16"	RR	Dezembro	Pessoa Física	1340	26
PRISCILA	Rodas aro 17"	RN	Junho	Pessoa Física	1870	25
MIRIAN	Rodas aro 18"	BA	Agosto	Pessoa Jurídica	1910	25
MURILO	Rodas aro 19"	AP	Junho	Pessoa Jurídica	2240	25
ROBERTO	Rodas aro 20"	RR	Junho	Pessoa Jurídica	2479	24
MYSLAINE	Rodas aro 21"	RN	Fevereiro	Pessoa Física	3200	24
KATIA	Rodas aro 22"	PE	Novembro	Pessoa Jurídica	3921	22
VANESSA	Rodas aro 13"	PE	Abril	Pessoa Física	780	20
RENATA	Rodas aro 14"	TO	Setembro	Pessoa Física	980	20
CAIO	Rodas aro 15"	MS	Novembro	Pessoa Física	1020	19
PRISCILA	Rodas aro 16"	MA	Janeiro	Pessoa Jurídica	1340	19
MIRIAN	Rodas aro 17"	MS	Maio	Pessoa Jurídica	1870	18
MURILO	Rodas aro 18"	PB	Maio	Pessoa Jurídica	1910	17
ROBERTO	Rodas aro 19"	RO	Novembro	Pessoa Física	2240	16
MYSLAINE	Rodas aro 20"	PB	Agosto	Pessoa Jurídica	2479	15
KATIA	Rodas aro 21"	MA	Março	Pessoa Física	3200	14
VANESSA	Rodas aro 22"	PB	Abril	Pessoa Física	3921	9
RENATA	Rodas aro 13"	PR	Janeiro	Pessoa Física	780	8
CAIO	Rodas aro 14"	MA	Novembro	Pessoa Jurídica	980	6
PRISCILA	Rodas aro 15"	MG	Agosto	Pessoa Jurídica	1020	6
MIRIAN	Rodas aro 16"	SP	Setembro	Pessoa Jurídica	1340	5
